Blue;453;+57.1
Green;453;+57.1
Green1.3d2_OASIS;453;+57.1
Pumpkin;397;+17.47
Texture Subset;387;+29.18
minimal;324;+16.03
naive minimal;263;+12.21
all;369;+55.59
OSA;191;+2.56
PMC_comm-use_A-B_O-Z;352;+21.44
PsychOpen;150;+1.44
STEM;357;+51.73
HUM;223;+11.55
ECON;131;+1.22
DeGruyter0.01;165;+8.07
ScienceOpen0.01;230;+8.34
DeGruyter;172;+8.02
JohnBenjamins;281;+5.92
OUP;173;+4.75
