Blue;453;+23.58
Green;453;+23.58
Green1.3d2_OASIS;453;+23.58
Pumpkin;397;+2.15
Texture Subset;387;+18.92
minimal;324;+20.26
naive minimal;263;+26.17
all;369;+32.4
OSA;191;+3.62
PMC__20_Century_Br_Hist0.01;85;+.83
PMC__2d_Mater0.01;88;+1.02
PMC__3D_Print_Addit_Manuf0.01;140;+3.05
PMC__3D_Print_Med0.01;157;+7.32
PMC__3_Biotech0.01;147;+5.99
PMC__AAPS_J0.01;158;+6.89
PMC__AAPS_PharmSciTech0.01;144;+4.86
PMC__AAS_Open_Res0.01;142;+3.77
PMC__ACG_Case_Rep_J0.01;109;+1.88
PMC__AIDS0.01;142;+6.01
PMC__AIDS_Behav0.01;151;+5.85
PMC__AIDS_Care0.01;170;+7.26
PMC__AIDS_Res_Ther0.01;161;+8.19
PMC__AIDS_Res_Treat0.01;142;+4.65
PMC__AIMS_Microbiol0.01;135;+4.43
PMC__AIMS_Neurosci0.01;146;+5.74
PMC__AIMS_Public_Health0.01;152;+4.03
PMC__AMB_Express0.01;161;+7.74
PMC__APL_Bioeng0.01;159;+4.42
PMC__APSP_J_Case_Rep0.01;90;+1.17
PMC__ASN_Neuro0.01;161;+6.18
PMC__Abdom_Radiol_(NY)0.01;158;+7.31
PMC__Access_Microbiol0.01;154;+4.47
PMC__Acta_Biomater0.01;145;+4.94
PMC__Acta_Cir_Bras0.01;144;+3.54
PMC__Acta_Crystallogr_A_Found_Adv0.01;140;+2.23
PMC__Acta_Crystallogr_B_Struct_Sci_Cryst_Eng_Mater0.01;143;+2.65
PMC__Acta_Crystallogr_C_Struct_Chem0.01;134;+2.1
PMC__Acta_Crystallogr_D_Biol_Crystallogr0.01;134;+2.51
PMC__Acta_Crystallogr_D_Struct_Biol0.01;146;+3.08
PMC__Acta_Crystallogr_E_Crystallogr_Commun0.01;138;+2.42
PMC__Acta_Crystallogr_F_Struct_Biol_Commun0.01;143;+2.76
PMC__Acta_Crystallogr_Sect_E_Struct_Rep_Online0.01;119;+2.0
PMC__Acta_Crystallogr_Sect_F_Struct_Biol_Cryst_Commun0.01;128;+2.38
PMC__Acta_Diabetol0.01;151;+7.29
PMC__Acta_Naturae0.01;128;+2.58
PMC__Acta_Neurochir_(Wien)0.01;147;+6.58
PMC__Acta_Neuropathol0.01;150;+6.65
PMC__Acta_Neuropathol_Commun0.01;159;+7.48
PMC__Acta_Orthop0.01;155;+4.47
PMC__Acta_Ortop_Bras0.01;145;+3.54
PMC__Acta_Paediatr0.01;187;+10.02
PMC__Acta_Physiol_(Oxf)0.01;182;+10.07
PMC__Acta_Vet_Scand0.01;167;+8.97
PMC__Acute_Med_Surg0.01;163;+4.44
PMC__Addict_Behav_Rep0.01;139;+5.41
PMC__Addict_Sci_Clin_Pract0.01;161;+5.98
PMC__Addiction0.01;179;+7.84
PMC__Adipocyte0.01;178;+5.06
PMC__Adm_Policy_Ment_Health0.01;152;+4.98
PMC__Adv_Bioinformatics0.01;148;+5.73
PMC__Adv_Cogn_Psychol0.01;128;+2.55
PMC__Adv_Differ_Equ0.01;142;+4.01
PMC__Adv_Health_Sci_Educ_Theory_Pract0.01;148;+5.92
PMC__Adv_Hematol0.01;138;+4.17
PMC__Adv_Mater0.01;173;+6.9
PMC__Adv_Med0.01;138;+3.67
PMC__Adv_Orthop0.01;142;+4.67
PMC__Adv_Pharm_Bull0.01;122;+2.27
PMC__Adv_Pharmacol_Sci0.01;142;+4.32
PMC__Adv_Prev_Med0.01;147;+5.04
PMC__Adv_Sci_(Weinh)0.01;164;+4.27
PMC__Adv_Simul_(Lond)0.01;155;+6.64
PMC__Adv_Struct_Chem_Imaging0.01;147;+5.0
PMC__Adv_Urol0.01;142;+4.43
PMC__Adv_Virol0.01;142;+4.79
PMC__Aesthetic_Plast_Surg0.01;139;+4.13
PMC__Afr_Health_Sci0.01;125;+3.16
PMC__Afr_J_Disabil0.01;145;+4.26
PMC__Afr_J_Lab_Med0.01;133;+3.94
PMC__Afr_J_Prim_Health_Care_Fam_Med0.01;139;+4.83
PMC__Age_Ageing0.01;175;+8.57
PMC__Aging_(Albany_NY)0.01;155;+5.17
PMC__Aging_Cell0.01;183;+10.74
PMC__Aging_Clin_Exp_Res0.01;149;+7.44
PMC__Aging_Dis0.01;128;+3.88
PMC__Aging_Med_(Milton)0.01;174;+5.6
PMC__Alcohol_Health_Res_World0.01;119;+2.42
PMC__Alcohol_Res0.01;132;+2.78
PMC__Alcohol_Res_Health0.01;130;+3.27
PMC__Algorithms_Mol_Biol0.01;160;+7.19
PMC__Aliment_Pharmacol_Ther0.01;166;+5.43
PMC__Allergol_Select0.01;111;+1.96
PMC__Allergy0.01;181;+9.15
PMC__Allergy_Asthma_Clin_Immunol0.01;170;+8.96
PMC__Alzheimers_Dement_(Amst)0.01;169;+5.95
PMC__Alzheimers_Res_Ther0.01;163;+9.42
PMC__Am_J_Clin_Nutr0.01;159;+4.81
PMC__Am_J_Dent_Sci0.01;63;+.62
PMC__Am_J_Epidemiol0.01;184;+8.91
PMC__Am_J_Hematol0.01;170;+5.88
PMC__Am_J_Hum_Genet0.01;130;+5.06
PMC__Am_J_Med_Case_Rep0.01;125;+2.85
PMC__Am_J_Med_Genet_A0.01;176;+7.76
PMC__Am_J_Physiol_Heart_Circ_Physiol0.01;166;+6.38
PMC__Am_J_Physiol_Lung_Cell_Mol_Physiol0.01;157;+4.73
PMC__Am_J_Trop_Med_Hyg0.01;143;+4.62
PMC__Ambio0.01;148;+6.09
PMC__Amino_Acids0.01;147;+5.74
PMC__An_Bras_Dermatol0.01;132;+4.26
PMC__Anal_Bioanal_Chem0.01;149;+5.28
PMC__Anal_Cell_Pathol_(Amst)0.01;141;+4.39
PMC__Anat_Res_Int0.01;142;+4.41
PMC__Anemia0.01;139;+4.28
PMC__Anesth_Pain_Med0.01;128;+4.01
PMC__Anesthesiol_Res_Pract0.01;146;+4.96
PMC__Angew_Chem_Int_Ed_Engl0.01;180;+7.01
PMC__Angiogenesis0.01;152;+6.28
